param,value,se
c1,0.902786,0.028463
c2,0.004510,0.003133
c3,0.334926,0.048944
c4,0.529072,0.020703
delta_s1,-0.901992,0.032331
delta_N,1.611776,0.342283
delta_P1,-2.000000,0.211107
delta_P2,-1.489886,0.020990
delta_s2,1.323270,0.019437
sigma2,3.660364,0.025571
r2,0.899247,
sigma,0.045470,
n_obs,5331,
