variant,depth,site,layer,rms
as-is,32,resid,2,1.299777
as-is,32,resid,3,1.399769
as-is,32,resid,4,1.499752
as-is,32,resid,5,1.599720
as-is,32,resid,6,1.699698
as-is,32,resid,7,1.799680
as-is,32,resid,8,1.899661
as-is,32,resid,9,1.999627
as-is,32,resid,10,2.099602
as-is,32,resid,11,2.199611
as-is,32,resid,12,2.299620
as-is,32,resid,13,2.399585
as-is,32,resid,14,2.499572
as-is,32,resid,15,2.599559
as-is,32,resid,16,5.299109
as-is,32,resid,17,7.898666
as-is,32,resid,18,10.398238
as-is,32,resid,19,12.797836
as-is,32,resid,20,15.097430
as-is,32,resid,21,17.297047
as-is,32,resid,22,19.396687
as-is,32,resid,23,21.396317
as-is,32,resid,24,23.295954
as-is,32,resid,25,25.095621
as-is,32,resid,26,26.795330
as-is,32,resid,27,28.395061
as-is,32,resid,28,29.894817
as-is,32,resid,29,31.294592
as-is,32,resid,30,32.594357
as-is,32,resid,31,33.794167
as-is,32,attn,0,0.009100
as-is,32,attn,1,0.008729
as-is,32,attn,2,0.008383
as-is,32,attn,3,0.009276
as-is,32,attn,4,0.009207
as-is,32,attn,5,0.009295
as-is,32,attn,6,0.008650
as-is,32,attn,7,0.010081
as-is,32,attn,8,0.008606
as-is,32,attn,9,0.008767
as-is,32,attn,10,0.008529
as-is,32,attn,11,0.009147
as-is,32,attn,12,0.008897
as-is,32,attn,13,0.009144
as-is,32,attn,14,0.008766
as-is,32,attn,15,0.009491
as-is,32,attn,16,0.008640
as-is,32,attn,17,0.009342
as-is,32,attn,18,0.009495
as-is,32,attn,19,0.009547
as-is,32,attn,20,0.009507
as-is,32,attn,21,0.009305
as-is,32,attn,22,0.009124
as-is,32,attn,23,0.009299
as-is,32,attn,24,0.009094
as-is,32,attn,25,0.009205
as-is,32,attn,26,0.009130
as-is,32,attn,27,0.009194
as-is,32,attn,28,0.008910
as-is,32,attn,29,0.009143
as-is,32,attn,30,0.009299
as-is,32,attn,31,0.009058
as-is,32,mlp,0,0.003853
as-is,32,mlp,1,0.003999
as-is,32,mlp,2,0.003993
as-is,32,mlp,3,0.003926
as-is,32,mlp,4,0.003891
as-is,32,mlp,5,0.003795
as-is,32,mlp,6,0.003948
as-is,32,mlp,7,0.003945
as-is,32,mlp,8,0.004025
as-is,32,mlp,9,0.003914
as-is,32,mlp,10,0.004053
as-is,32,mlp,11,0.003967
as-is,32,mlp,12,0.003933
as-is,32,mlp,13,0.004038
as-is,32,mlp,14,0.003932
as-is,32,mlp,15,0.003912
as-is,32,mlp,16,0.003939
as-is,32,mlp,17,0.004063
as-is,32,mlp,18,0.003895
as-is,32,mlp,19,0.004038
as-is,32,mlp,20,0.003961
as-is,32,mlp,21,0.004118
as-is,32,mlp,22,0.003915
as-is,32,mlp,23,0.004009
as-is,32,mlp,24,0.003838
as-is,32,mlp,25,0.003898
as-is,32,mlp,26,0.003869
as-is,32,mlp,27,0.004024
as-is,32,mlp,28,0.004019
as-is,32,mlp,29,0.004009
as-is,32,mlp,30,0.004025
as-is,32,mlp,31,0.003978
fixed,32,resid,0,1.012315
fixed,32,resid,1,1.024802
fixed,32,resid,2,1.037284
fixed,32,resid,3,1.049765
fixed,32,resid,4,1.062262
fixed,32,resid,5,1.074753
fixed,32,resid,6,1.087266
fixed,32,resid,7,1.099782
fixed,32,resid,8,1.112282
fixed,32,resid,9,1.124812
fixed,32,resid,10,1.137320
fixed,32,resid,11,1.149830
fixed,32,resid,12,1.162335
fixed,32,resid,13,1.174822
fixed,32,resid,14,1.187320
fixed,32,resid,15,1.199835
fixed,32,resid,16,1.362322
fixed,32,resid,17,1.523258
fixed,32,resid,18,1.682607
fixed,32,resid,19,1.840433
fixed,32,resid,20,1.996696
fixed,32,resid,21,2.151343
fixed,32,resid,22,2.304456
fixed,32,resid,23,2.455987
fixed,32,resid,24,2.605957
fixed,32,resid,25,2.754347
fixed,32,resid,26,2.901239
fixed,32,resid,27,3.046491
fixed,32,resid,28,3.190238
fixed,32,resid,29,3.332396
fixed,32,resid,30,3.473028
fixed,32,resid,31,3.612081
fixed,32,attn,0,0.009720
fixed,32,attn,1,0.009269
fixed,32,attn,2,0.009088
fixed,32,attn,3,0.009301
fixed,32,attn,4,0.009057
fixed,32,attn,5,0.009669
fixed,32,attn,6,0.009514
fixed,32,attn,7,0.009266
fixed,32,attn,8,0.008739
fixed,32,attn,9,0.010222
fixed,32,attn,10,0.009038
fixed,32,attn,11,0.009268
fixed,32,attn,12,0.009311
fixed,32,attn,13,0.009539
fixed,32,attn,14,0.009007
fixed,32,attn,15,0.008993
fixed,32,attn,16,0.009356
fixed,32,attn,17,0.009318
fixed,32,attn,18,0.008637
fixed,32,attn,19,0.009310
fixed,32,attn,20,0.009590
fixed,32,attn,21,0.009558
fixed,32,attn,22,0.009534
fixed,32,attn,23,0.009292
fixed,32,attn,24,0.009137
fixed,32,attn,25,0.009021
fixed,32,attn,26,0.009676
fixed,32,attn,27,0.009090
fixed,32,attn,28,0.009566
fixed,32,attn,29,0.009207
fixed,32,attn,30,0.009070
fixed,32,attn,31,0.009426
fixed,32,mlp,0,0.003962
fixed,32,mlp,1,0.003953
fixed,32,mlp,2,0.003902
fixed,32,mlp,3,0.003905
fixed,32,mlp,4,0.003952
fixed,32,mlp,5,0.003934
fixed,32,mlp,6,0.003937
fixed,32,mlp,7,0.004095
fixed,32,mlp,8,0.004026
fixed,32,mlp,9,0.003956
fixed,32,mlp,10,0.003981
fixed,32,mlp,11,0.003934
fixed,32,mlp,12,0.003917
fixed,32,mlp,13,0.003910
fixed,32,mlp,14,0.003938
fixed,32,mlp,15,0.004012
fixed,32,mlp,16,0.003928
fixed,32,mlp,17,0.003953
fixed,32,mlp,18,0.004011
fixed,32,mlp,19,0.003928
fixed,32,mlp,20,0.003852
fixed,32,mlp,21,0.003915
fixed,32,mlp,22,0.003981
fixed,32,mlp,23,0.004022
fixed,32,mlp,24,0.004090
fixed,32,mlp,25,0.003956
fixed,32,mlp,26,0.003900
fixed,32,mlp,27,0.004026
fixed,32,mlp,28,0.003988
fixed,32,mlp,29,0.003919
fixed,32,mlp,30,0.004068
fixed,32,mlp,31,0.003928
