T_tokens,epoch,init_a_T,init_a_T_se,shuffle_a_T,shuffle_a_T_se,Linf_T,Linf_T_se
1514143744,15,0.412083,0.024970,0.453563,0.027907,3.546060,0.012143
1534066688,15,0.427327,0.024955,0.453117,0.027920,3.535337,0.012180
1553989632,16,0.418870,0.024929,0.430883,0.027925,3.540259,0.012090
1573912576,16,0.389463,0.024966,0.437340,0.027897,3.542126,0.012037
1593835520,16,0.392965,0.024955,0.432855,0.027901,3.533702,0.012032
1613758464,16,0.439817,0.024996,0.484901,0.027915,3.539921,0.012314
1633681408,16,0.441488,0.024988,0.481559,0.027919,3.536328,0.012308
1653604352,17,0.433106,0.024963,0.461807,0.027921,3.535988,0.012223
1673527296,17,0.422449,0.024958,0.452262,0.027916,3.538859,0.012165
1693450240,17,0.409298,0.024969,0.450939,0.027906,3.533588,0.012127
1713373184,17,0.458749,0.025001,0.499100,0.027925,3.539741,0.012413
1733296128,17,0.465680,0.025065,0.536104,0.027913,3.527432,0.012558
1753219072,18,0.442031,0.025020,0.499233,0.027910,3.535220,0.012367
1773142016,18,0.423714,0.024977,0.464466,0.027912,3.539687,0.012206
1793064960,18,0.417602,0.025008,0.478494,0.027901,3.533198,0.012235
1812987904,18,0.488101,0.025058,0.546120,0.027928,3.531413,0.012658
1832910848,18,0.473439,0.025026,0.521260,0.027927,3.534980,0.012529
1852833792,19,0.482275,0.025004,0.514631,0.027939,3.524117,0.012531
1872756736,19,0.447122,0.025015,0.499882,0.027914,3.536673,0.012383
1892679680,19,0.448114,0.025011,0.498422,0.027916,3.529523,0.012381
1912602624,19,0.509654,0.025087,0.573152,0.027933,3.529081,0.012819
1932525568,19,0.489677,0.025093,0.563753,0.027920,3.533016,0.012725
1952448512,20,0.487388,0.025087,0.559813,0.027920,3.527545,0.012704
1972371456,20,0.475548,0.025035,0.527315,0.027926,3.532530,0.012556
1992294400,20,0.472936,0.025025,0.520469,0.027927,3.525311,0.012525
2012217344,20,0.518918,0.025076,0.573388,0.027942,3.539097,0.012848
2032140288,20,0.519850,0.025135,0.600650,0.027929,3.523485,0.012952
2052063232,21,0.517502,0.025058,0.564034,0.027946,3.527004,0.012809
2071986176,21,0.493767,0.025031,0.536158,0.027938,3.532216,0.012639
2091909120,21,0.501958,0.025076,0.563312,0.027931,3.515013,0.012760
2111832064,21,0.573691,0.025131,0.630825,0.027966,3.525317,0.013239
2131755008,21,0.545547,0.025102,0.601116,0.027954,3.530257,0.013034
2151677952,22,0.525564,0.025090,0.583958,0.027943,3.534471,0.012908
2171600896,22,0.526074,0.025081,0.580006,0.027946,3.532013,0.012894
2191523840,22,0.513547,0.025060,0.562409,0.027943,3.530056,0.012792
2211446784,22,0.584659,0.025227,0.676569,0.027950,3.522145,0.013459
2231369728,22,0.550881,0.025145,0.623228,0.027946,3.530645,0.013136
2251292672,23,0.549248,0.025124,0.613335,0.027950,3.530610,0.013093
2271215616,23,0.531289,0.025140,0.609695,0.027935,3.523463,0.013022
2291138560,23,0.526092,0.025092,0.585180,0.027943,3.534810,0.012914
2311061504,23,0.597379,0.025244,0.690863,0.027955,3.528478,0.013560
2330984448,23,0.591030,0.025185,0.663821,0.027964,3.525799,0.013428
2350907392,24,0.568476,0.025165,0.642254,0.027953,3.527353,0.013267
2370830336,24,0.567360,0.025119,0.622045,0.027964,3.527304,0.013184
2390753280,24,0.539033,0.025159,0.622004,0.027935,3.524546,0.013094
2410676224,24,0.608596,0.025238,0.695310,0.027964,3.534903,0.013617
2430599168,24,0.594437,0.025216,0.678119,0.027959,3.535382,0.013498
2450522112,25,0.571596,0.025173,0.647655,0.027953,3.537101,0.013299
2470445056,25,0.574691,0.025175,0.649987,0.027955,3.526537,0.013319
2490368000,25,0.566217,0.025172,0.643787,0.027950,3.529546,0.013266
2510290944,25,0.628217,0.025257,0.714038,0.027974,3.533507,0.013763
2530213888,25,0.635817,0.025217,0.703310,0.027991,3.532008,0.013744
2550136832,26,0.604709,0.025197,0.677060,0.027971,3.534536,0.013528
2570059776,26,0.582194,0.025205,0.666722,0.027953,3.531516,0.013411
2589982720,26,0.605445,0.025157,0.660858,0.027983,3.520677,0.013464
2609905664,26,0.678610,0.025231,0.734439,0.028023,3.535198,0.014029
2629828608,26,0.655785,0.025364,0.768223,0.027972,3.521710,0.014095
2649751552,27,0.622935,0.025285,0.720938,0.027964,3.537774,0.013774
2669674496,27,0.619859,0.025232,0.699769,0.027974,3.528128,0.013674
2689597440,27,0.594349,0.025318,0.715476,0.027939,3.524506,0.013652
2709520384,27,0.682686,0.025266,0.750006,0.028017,3.539889,0.014112
2729443328,27,0.654199,0.025309,0.748414,0.027982,3.526103,0.014003
2749366272,28,0.632991,0.025220,0.702880,0.027987,3.538130,0.013733
2769289216,28,0.624601,0.025214,0.695438,0.027982,3.535870,0.013672
2789212160,28,0.621772,0.025280,0.718619,0.027965,3.529201,0.013760
2809135104,28,0.674052,0.025331,0.767815,0.027993,3.549616,0.014159
2829058048,28,0.674390,0.025306,0.759216,0.027999,3.536497,0.014123
2848980992,29,0.670836,0.025296,0.753748,0.027999,3.533853,0.014086
2868903936,29,0.651538,0.025358,0.763578,0.027970,3.535721,0.014059
2888826880,29,0.622419,0.025271,0.715890,0.027967,3.536231,0.013751
2908749824,29,0.699175,0.025488,0.833676,0.027980,3.532518,0.014549
2928672768,29,0.691305,0.025378,0.794011,0.027996,3.537232,0.014339
2948595712,30,0.669446,0.025317,0.760208,0.027992,3.545624,0.014109
2968518656,30,0.644712,0.025332,0.750823,0.027970,3.540199,0.013979
2988441600,30,0.657153,0.025274,0.737595,0.027993,3.538568,0.013966
3008364544,30,0.724777,0.025352,0.805246,0.028031,3.544535,0.014515
3028287488,30,0.722441,0.025367,0.809155,0.028025,3.537213,0.014524
3048210432,31,0.688803,0.025391,0.796972,0.027991,3.533911,0.014344
3068133376,31,0.657355,0.025368,0.770486,0.027972,3.544381,0.014111
3088056320,31,0.645833,0.025302,0.740749,0.027978,3.542667,0.013940
3107979264,31,0.733854,0.025403,0.827656,0.028026,3.547608,0.014653
3127902208,31,0.730926,0.025403,0.826036,0.028024,3.548679,0.014634
3147825152,32,0.720564,0.025361,0.805958,0.028025,3.541094,0.014503
3167748096,32,0.708731,0.025351,0.795337,0.028017,3.540385,0.014410
3187671040,32,0.694903,0.025250,0.751041,0.028033,3.539801,0.014161
3207593984,32,0.739692,0.025453,0.847052,0.028020,3.550249,0.014765
3227516928,32,0.750046,0.025469,0.858327,0.028025,3.541577,0.014858
3247439872,33,0.703288,0.025451,0.824726,0.027990,3.556287,0.014524
3267362816,33,0.707092,0.025384,0.805478,0.028008,3.538458,0.014450
3287285760,33,0.714702,0.025420,0.821878,0.028006,3.531010,0.014554
3307208704,33,0.773358,0.025446,0.865227,0.028052,3.543504,0.014981
3327131648,33,0.784100,0.025486,0.883861,0.028052,3.537818,0.015112
3347054592,34,0.745752,0.025478,0.858409,0.028019,3.544150,0.014842
3366977536,34,0.733964,0.025394,0.824983,0.028029,3.543148,0.014641
3386900480,34,0.713592,0.025386,0.810215,0.028013,3.546373,0.014496
3406823424,34,0.782172,0.025506,0.888970,0.028046,3.555886,0.015129
3426746368,34,0.757617,0.025542,0.884661,0.028016,3.558957,0.015012
3446669312,35,0.739542,0.025463,0.850265,0.028017,3.551295,0.014780
3466592256,35,0.740419,0.025458,0.849035,0.028019,3.543983,0.014777
3486515200,35,0.753059,0.025380,0.831514,0.028050,3.535139,0.014744
3506438144,35,0.794975,0.025552,0.910038,0.028047,3.554016,0.015281
3526361088,35,0.795448,0.025482,0.889561,0.028064,3.550282,0.015184
3546284032,36,0.790389,0.025451,0.876691,0.028068,3.545942,0.015102
